Compound name,Compound id,Device id,Publish year,Doi,Journal name,Smiles,Mn(Kda),Dispersity(Đ),π-π Spacing,d(100),Device architectures,Channel length(μm),Channel width(μm),Ratio of channel length and width,Materials of dielectric layer,Thickness of dielectric layer(μm),Capacitance of unit area(nF),Materials of source and drain electrodes,Materials of gate electrodes,Fabrication method,Annealing temperature,Spin coating solvent,Spin coating speed(rpm),Test environment,Type of carriers,HOMO (eV),LUMO (eV),Max hole mobility (cm²V⁻¹s⁻¹),Mean hole mobility (cm²V⁻¹s⁻¹),Hole threshold voltage(V),Hole on and off ratio,Max electron mobility (cm²V⁻¹s⁻¹),Mean electron mobility (cm²V⁻¹s⁻¹),Electron threshold voltage(V),Electron on and off ratio,Max mobility (cm²V⁻¹s⁻¹),Comments
61-P3,118,256,2015,10.1039/c5sc00843c,Chemical Science,O=C(N1CC(CCCCCCCC)CCCCCCCCCC)C(C2=C1C3=CC=CS3)=C(C4=CC=C(C5=CC=C(C6=CC=CS6)S5)S4)N(CC(CCCCCCCCCC)CCCCCCCC)C2=O,38.3,2.16,3.9,19.1,BG/BC,30.0,1000.0,33.3,SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCE/o-DCB,,Ambient,p,-5.3,-4.0,1.74,1.62,17.0,10000,,,,,1.74,
61-P4b,119,257,2015,10.1039/c5sc00843c,Chemical Science,O=C(N1CC(CCCCCCCCCCCC)CCCCCCCCCC)C(C2=C1C3=CC=C(C4=CC=CS4)S3)=C(C5=CC=C(C6=CC=CS6)S5)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=O,23.8,2.51,3.9,21.5,BG/BC,30.0,1000.0,33.3,SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCE/o-DCB,,Ambient,p,-5.3,-3.9,0.94,0.9,-8.0,1000000,,,,,0.94,
H-PTIIG-HD-NP,124,258,2017,10.1021/acsami.7b07856,ACS Applied Materials & Interfaces,O=C(/C1=C2C(SC(C3=CC=C(C=CC=C4)C4=C3)=C5)=C5N(CC(CCCCCCCC)CCCCCC)C2=O)N(CC(CCCCCCCC)CCCCCC)C6=C1SC=C6,61.3,2.11,3.7,21.4,TG/BC,20.0,1000.0,50.0,PMMA,500.0,,Ni/Au,Al,"Spin coating - annealing",300.0,TCB,,Nitrogen,p,-5.32,-3.9,1.64,1.17,-62.1,588-1357,0.0189,0.01611,71.4,,1.64,
H-PTIIGOD-Np,125,259,2017,10.1021/acsami.7b07856,ACS Applied Materials & Interfaces,O=C(/C1=C2C(SC(C3=CC=C(C=CC=C4)C4=C3)=C5)=C5N(CC(CCCCCCCCCC)CCCCCCCC)C2=O)N(CC(CCCCCCCC)CCCCCCCCCC)C6=C1SC=C6,63.8,3.19,3.7,24.5,TG/BC,20.0,1000.0,50.0,PMMA,500.0,,Ni/Au,Al,"Spin coating - annealing",300.0,TCB,,Nitrogen,p,-5.36,-3.91,0.606,0.346,-59.3,347-520,0.0149,0.01356,76.0,,0.606,
H-PTIIGDT-Np,126,260,2017,10.1021/acsami.7b07856,ACS Applied Materials & Interfaces,O=C(/C1=C2C(SC(C3=CC=C(C=CC=C4)C4=C3)=C5)=C5N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=O)N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C6=C1SC=C6,108.7,3.79,3.7,27.7,TG/BC,20.0,1000.0,50.0,PMMA,500.0,,Ni/Au,Al,"Spin coating - annealing",300.0,TCB,,Nitrogen,p,-5.35,-3.91,0.108,0.0748,-52.0,49-92,0.0163,0.0114,63.5,,0.108,
P(OD-DPPBT),171,261,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,O=C(N(C(C1=CC=CS1)=C2C(N3CC(CCCCCCCC)CCCCCCCCCC)=O)CC(CCCCCCCC)CCCCCCCCCC)C2=C3C4=CC=C(C5=CC=C(C6=CC=CS6)S5)S4,77.4,1.76,3.86,20.6,TG/BC,100.0,1500.0,15.0,SiO2,,,,,"Spin coating - annealing",150.0,chloroform,,,p,-5.31,-4.02,0.61,0.57,-6.2,200000,,,,,0.61,
P(ODE3-DPPBT),172,262,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,O=C(N(C(C1=CC=CS1)=C2C(N3CCCC(OCC(CCCCCCCC)CCCCCCCCCC)=O)=O)CCCC(OCC(CCCCCCCCCC)CCCCCCCC)=O)C2=C3C4=CC=C(C5=CC=C(C6=CC=CS6)S5)S4,162.6,2.4,3.85,23.3,TG/BC,100.0,1500.0,15.0,SiO2,,,,,"Spin coating - annealing",150.0,chloroform,,,p,-5.29,-3.92,0.65,0.6,8.7,200000,,,,,0.65,
P(ODE5-DPPBT),173,263,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,O=C(N(C(C1=CC=CS1)=C2C(N3CCCCCC(OCC(CCCCCCCC)CCCCCCCCCC)=O)=O)CCCCCC(OCC(CCCCCCCCCC)CCCCCCCC)=O)C2=C3C4=CC=C(C5=CC=C(C6=CC=CS6)S5)S4,196.0,2.69,3.63,27.5,TG/BC,100.0,1500.0,15.0,SiO2,,,,,"Spin coating - annealing",150.0,chloroform,,,p,-5.09,-3.72,0.58,0.55,0.1,>10000000,,,,,0.58,
P(DD-DPPBT),174,264,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,O=C(N(C(C1=CC=CS1)=C2C(N3CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=C3C4=CC=C(C5=CC=C(C6=CC=CS6)S5)S4,192.8,3.43,3.62,30.1,TG/BC,100.0,1500.0,15.0,SiO2,,,,,"Spin coating - annealing",150.0,chloroform,,,p,-5.05,-3.75,1.52,1.42,-3.0,10000,,,,,1.52,
P(DDE3-DPPBT),175,265,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,O=C(N(C(C1=CC=CS1)=C2C(N3CCCC(OCC(CCCCCCCCCCCC)CCCCCCCCCC)=O)=O)CCCC(OCC(CCCCCCCCCC)CCCCCCCCCCCC)=O)C2=C3C4=CC=C(C5=CC=C(C6=CC=CS6)S5)S4,173.2,2.7,3.62,30.3,TG/BC,100.0,1500.0,15.0,SiO2,,,,,"Spin coating - annealing",150.0,chloroform,,,p,-5.11,-3.74,2.51,2.3,-0.8,100000,,,,,2.51,
P(DDE5-DPPBT),176,266,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,O=C(N(C(C1=CC=CS1)=C2C(N3CCCCCC(OCC(CCCCCCCCCCCC)CCCCCCCCCC)=O)=O)CCCCCC(OCC(CCCCCCCCCC)CCCCCCCCCCCC)=O)C2=C3C4=CC=C(C5=CC=C(C6=CC=CS6)S5)S4,177.7,2.36,3.62,31.4,TG/BC,100.0,1500.0,15.0,SiO2,,,,,"Spin coating - annealing",150.0,chloroform,,,p,-5.04,-3.69,1.53,1.36,-4.2,>100000,,,,,1.53,
P(OD-DPPBT),171,267,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,O=C(N(C(C1=CC=CS1)=C2C(N3CC(CCCCCCCC)CCCCCCCCCC)=O)CC(CCCCCCCC)CCCCCCCCCC)C2=C3C4=CC=C(C5=CC=C(C6=CC=CS6)S5)S4,77.4,1.76,3.86,20.6,TG/BC,100.0,1500.0,15.0,SiO2,,,,,Spin coating,,chloroform,,,p,-5.31,-4.02,0.31,0.28,-1.5,>1000000,,,,,0.31,
P(ODE3-DPPBT),172,268,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,O=C(N(C(C1=CC=CS1)=C2C(N3CCCC(OCC(CCCCCCCC)CCCCCCCCCC)=O)=O)CCCC(OCC(CCCCCCCCCC)CCCCCCCC)=O)C2=C3C4=CC=C(C5=CC=C(C6=CC=CS6)S5)S4,162.6,2.4,3.85,23.3,TG/BC,100.0,1500.0,15.0,SiO2,,,,,Spin coating,,chloroform,,,p,-5.29,-3.92,0.4,0.35,5.1,>100000,,,,,0.4,
P(ODE5-DPPBT),173,269,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,O=C(N(C(C1=CC=CS1)=C2C(N3CCCCCC(OCC(CCCCCCCC)CCCCCCCCCC)=O)=O)CCCCCC(OCC(CCCCCCCCCC)CCCCCCCC)=O)C2=C3C4=CC=C(C5=CC=C(C6=CC=CS6)S5)S4,196.0,2.69,3.63,27.5,TG/BC,100.0,1500.0,15.0,SiO2,,,,,Spin coating,,chloroform,,,p,-5.09,-3.72,0.55,0.5,0.5,2000000,,,,,0.55,
P(DD-DPPBT),174,270,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,O=C(N(C(C1=CC=CS1)=C2C(N3CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=C3C4=CC=C(C5=CC=C(C6=CC=CS6)S5)S4,192.8,3.43,3.62,30.1,TG/BC,100.0,1500.0,15.0,SiO2,,,,,Spin coating,,chloroform,,,p,-5.05,-3.75,0.85,0.8,-0.4,20000,,,,,0.85,
P(DDE3-DPPBT),175,271,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,O=C(N(C(C1=CC=CS1)=C2C(N3CCCC(OCC(CCCCCCCCCCCC)CCCCCCCCCC)=O)=O)CCCC(OCC(CCCCCCCCCC)CCCCCCCCCCCC)=O)C2=C3C4=CC=C(C5=CC=C(C6=CC=CS6)S5)S4,173.2,2.7,3.62,30.3,TG/BC,100.0,1500.0,15.0,SiO2,,,,,Spin coating,,chloroform,,,p,-5.11,-3.74,1.15,1.1,1.8,100000,,,,,1.15,
P(DDE5-DPPBT),176,272,2018,10.1021/acsami.8b13292,ACS Applied Materials & Interfaces,O=C(N(C(C1=CC=CS1)=C2C(N3CCCCCC(OCC(CCCCCCCCCCCC)CCCCCCCCCC)=O)=O)CCCCCC(OCC(CCCCCCCCCC)CCCCCCCCCCCC)=O)C2=C3C4=CC=C(C5=CC=C(C6=CC=CS6)S5)S4,177.7,2.36,3.62,31.4,TG/BC,100.0,1500.0,15.0,SiO2,,,,,Spin coating,,chloroform,,,p,-5.04,-3.69,1.3,1.15,2.6,10000,,,,,1.3,
BDPPV,301,273,2013,10.1021/ja403624a,Journal of American Chemical Society,O=C(/C1=C(C(C=C(OC(/C2=C(C(C=CC(C=C)=C3)=C3N4CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C4=O)=O)C2=C5)=C5O6)/C6=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C7=C1C=CC=C7,37.6,2.38,3.55,32.3,TG/BC,10.0,200.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,200.0,oDCB,1500,Ambient,n,-6.12,-4.1,,,,,1.1,0.84,5.0,,1.1,""
FBDPPV-1,302,274,2014,10.1021/ja412533d ,Journal of American Chemical Society,O=C(/C1=C(C(C=C(OC(/C2=C(C(C=CC(C=C)=C3F)=C3N4CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C4=O)=O)C2=C5)=C5O6)/C6=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C7=C1C=CC=C7F,66.3,1.94,3.42,32.9,TG/BC,5.0,200.0,40.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,180.0,oDCB,1500,Ambient,n,-6.19,-4.26,,,,,1.7,0.81,18.0,100000-1000000,1.7,""
FBDPPV-2,303,275,2014,10.1021/ja412533d ,Journal of American Chemical Society,O=C(/C1=C(C(C=C(OC(/C2=C(C(C=C(F)C(C=C)=C3)=C3N4CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C4=O)=O)C2=C5)=C5O6)/C6=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C7=C1C=C(F)C=C7,53.8,3.06,3.42,32.7,TG/BC,5.0,200.0,40.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,180.0,oDCB,1500,Ambient,n,-6.22,-4.3,,,,,1.39,0.62,1.0,10000-100000,1.39,""
F4BDOPV-2T,304,276,2016,10.1002/adma.201600541,Advanced Materials,O=C(/C1=C(C(C=C(OC(/C2=C(C(C=C(F)C(C3=CC=C(C4=CC=CS4)S3)=C5F)=C5N6CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C6=O)=O)C2=C7)=C7O8)/C8=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C9=C1C=C(F)C=C9F,38.0,2.74,3.52,28.4,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating ,,oDCB,500,Ambient,n,-5.85,-4.54,,,,,7.2,4.1,-10.0,1000-10000,7.2,"High spin-coating speed devices were also being reported"
F4BDOPV-2T,304,277,2016,10.1002/adma.201600541,Advanced Materials,O=C(/C1=C(C(C=C(OC(/C2=C(C(C=C(F)C(C3=CC=C(C4=CC=CS4)S3)=C5F)=C5N6CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C6=O)=O)C2=C7)=C7O8)/C8=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C9=C1C=C(F)C=C9F,38.0,2.74,3.52,28.4,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,160.0,oDCB,500,Ambient,n,-5.85,-4.54,,,,,14.9,9.0,-17.0,1000-10000,14.9,""
F4BDOPV-2T,304,278,2016,10.1002/adma.201600541,Advanced Materials,O=C(/C1=C(C(C=C(OC(/C2=C(C(C=C(F)C(C3=CC=C(C4=CC=CS4)S3)=C5F)=C5N6CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C6=O)=O)C2=C7)=C7O8)/C8=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C9=C1C=C(F)C=C9F,38.0,2.74,3.52,28.4,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,180.0,oDCB,500,Ambient,n,-5.85,-4.54,,,,,12.5,7.8,-19.0,1000-10000,12.5,""
F4BDOPV-2T,304,279,2016,10.1002/adma.201600541,Advanced Materials,O=C(/C1=C(C(C=C(OC(/C2=C(C(C=C(F)C(C3=CC=C(C4=CC=CS4)S3)=C5F)=C5N6CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C6=O)=O)C2=C7)=C7O8)/C8=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C9=C1C=C(F)C=C9F,38.0,2.74,3.52,28.4,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,200.0,oDCB,500,Ambient,n,-5.85,-4.54,,,,,10.3,6.5,-22.0,1000-10000,10.3,""
F4BDOPV-2T,304,280,2016,10.1002/adma.201600541,Advanced Materials,O=C(/C1=C(C(C=C(OC(/C2=C(C(C=C(F)C(C3=CC=C(C4=CC=CS4)S3)=C5F)=C5N6CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C6=O)=O)C2=C7)=C7O8)/C8=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C9=C1C=C(F)C=C9F,38.0,2.74,3.52,28.4,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,220.0,oDCB,500,Ambient,n,-5.85,-4.54,,,,,8.1,4.7,-25.0,1000-10000,8.1,""
F4BDOPV-2T,304,281,2016,10.1002/adma.201600541,Advanced Materials,O=C(/C1=C(C(C=C(OC(/C2=C(C(C=C(F)C(C3=CC=C(C4=CC=CS4)S3)=C5F)=C5N6CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C6=O)=O)C2=C7)=C7O8)/C8=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C9=C1C=C(F)C=C9F,38.0,2.74,3.52,28.4,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,240.0,oDCB,500,Ambient,n,-5.85,-4.54,,,,,5.6,3.2,-27.0,1000-10000,5.6,""
F4BDOPV-2T,304,282,2016,10.1002/adma.201600541,Advanced Materials,O=C(/C1=C(C(C=C(OC(/C2=C(C(C=C(F)C(C3=CC=C(C4=CC=CS4)S3)=C5F)=C5N6CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C6=O)=O)C2=C7)=C7O8)/C8=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C9=C1C=C(F)C=C9F,38.0,2.74,3.52,28.4,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,260.0,oDCB,500,Ambient,n,-5.85,-4.54,,,,,3.8,2.1,-30.0,1000-10000,3.8,""
F4BDOPV-2Se,305,283,2016,10.1002/adma.201600541,Advanced Materials,O=C(/C1=C(C(C=C(OC(/C2=C(C(C=C(F)C(C3=CC=C(C4=CC=C[Se]4)[Se]3)=C5F)=C5N6CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C6=O)=O)C2=C7)=C7O8)/C8=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C9=C1C=C(F)C=C9F,23.8,2.87,3.55,28.6,TG/BC,100.0,2000.0,20.0,CYTOP,500.0,3.7,Au/Ti,Al,Spin coating - annealing,160.0,oDCB,500,Ambient,n,-5.83,-4.54,,,,,6.1,3.2,3.0,1000-10000,6.1,""
NBDOPV,306,284,2015,10.1039/c5cc02026c,Chemical Communications,O=C1N(CCCCCCCCCCCC)C2=C(C=C(N(CCCCCCCCCCCC)C(/C3=C4C(C=CC(C5=CC=C(/C=C/C6=CC=CS6)S5)=C7)=C7N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C4=O)=O)C3=C2)/C1=C8C(C=CC=C9)=C9N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C/8=O,37.6,2.38,,34.5,BG/TC,2.4,60.0,25.0,OTS-treated SiO2,300.0,11.0,Au,n++-Si,Spin coating - annealing,200.0,TCE,,Ambient,p,-5.32,-4.05,1.92,,,,,,,,1.92,""
PIBDTBT-40,307,285,2016,10.1016/j.orgel.2016.05.003,Organic Electronics,O=C(/C1=C(C(C=C(SC(/C2=C(C(C=CC(C3=CC=C(C4=CC=CS4)S3)=C5)=C5N6CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C6=O)=O)C2=C7)=C7S8)/C8=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C9=C1C=CC=C9,21.0,2.3,3.9,29.2,BG/BC,30.0,1000.0,33.0,DDTS-treated SiO2,300.0,,Au,n++-Si,Spin coating - annealing,100.0,Chloroform,3000,Nitrogen,ambipolar,-5.6,-4.06,0.051,0.039,,,0.087,0.06,,,0.087,""
PIBDTBT-40,307,286,2016,10.1016/j.orgel.2016.05.003,Organic Electronics,O=C(/C1=C(C(C=C(SC(/C2=C(C(C=CC(C3=CC=C(C4=CC=CS4)S3)=C5)=C5N6CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C6=O)=O)C2=C7)=C7S8)/C8=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C9=C1C=CC=C9,21.0,2.3,3.9,29.2,BG/BC,30.0,1000.0,33.0,DDTS-treated SiO2,300.0,,Au,n++-Si,Spin coating - annealing,150.0,Chloroform,3000,Nitrogen,ambipolar,-5.6,-4.06,0.1,0.063,,,0.08,0.069,,,0.1,""
PIBDTBT-40,307,287,2016,10.1016/j.orgel.2016.05.003,Organic Electronics,O=C(/C1=C(C(C=C(SC(/C2=C(C(C=CC(C3=CC=C(C4=CC=CS4)S3)=C5)=C5N6CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C6=O)=O)C2=C7)=C7S8)/C8=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C9=C1C=CC=C9,21.0,2.3,3.9,29.2,BG/BC,30.0,1000.0,33.0,DDTS-treated SiO2,300.0,,Au,n++-Si,Spin coating - annealing,200.0,Chloroform,3000,Nitrogen,ambipolar,-5.6,-4.06,0.1,0.071,,,0.14,0.099,,,0.14,""
PIBDTBT-40,307,288,2016,10.1016/j.orgel.2016.05.003,Organic Electronics,O=C(/C1=C(C(C=C(SC(/C2=C(C(C=CC(C3=CC=C(C4=CC=CS4)S3)=C5)=C5N6CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)/C6=O)=O)C2=C7)=C7S8)/C8=O)N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C9=C1C=CC=C9,21.0,2.3,3.9,29.2,BG/BC,30.0,1000.0,33.0,DDTS-treated SiO2,300.0,,Au,n++-Si,Spin coating - annealing,250.0,Chloroform,3000,Nitrogen,ambipolar,-5.6,-4.06,0.092,0.061,,,0.12,0.095,,,0.12,""
PBIBDF-BT,308,289,2015,10.1039/c5py00161g,Polymer Chemistry,O=C1N(C2=C(/C1=C3C4=CC(SC5=O)=C(/C5=C(C6=O)/C7=C(C=CC=C7)N6CC(CCCCCCCCCCCC)CCCCCCCCCC)C=C4SC/3=O)C=CC(C8=CC(CCCCCCCCCCCC)=C(C9=C(CCCCCCCCCCCC)C=CS9)S8)=C2)CC(CCCCCCCCCC)CCCCCCCCCCCC,38.6,1.52,3.55,28.5,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating,,Chloroform,,vacuum,n,-5.55,-4.03,,,,,0.46,0.29,-0.4,10000-100000,0.46,""
PBIBDF-BT,308,290,2015,10.1039/c5py00161g,Polymer Chemistry,O=C1N(C2=C(/C1=C3C4=CC(SC5=O)=C(/C5=C(C6=O)/C7=C(C=CC=C7)N6CC(CCCCCCCCCCCC)CCCCCCCCCC)C=C4SC/3=O)C=CC(C8=CC(CCCCCCCCCCCC)=C(C9=C(CCCCCCCCCCCC)C=CS9)S8)=C2)CC(CCCCCCCCCC)CCCCCCCCCCCC,38.6,1.52,3.55,28.5,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating - annealing,180.0,Chloroform,,vacuum,n,-5.55,-4.03,,,,,1.03,0.79,28.7,10000-100000,1.03,""
PBTBDF-BT,309,291,2015,10.1039/c5py00161g,Polymer Chemistry,O=C1N(C(C=C(C2=CC(CCCCCCCCCCCC)=C(C3=C(CCCCCCCCCCCC)C=CS3)S2)S4)=C4/C1=C5C6=CC(SC7=O)=C(/C7=C(C8=O)/C9C(C=CS9)N8CC(CCCCCCCCCCCC)CCCCCCCCCC)C=C6SC/5=O)CC(CCCCCCCCCC)CCCCCCCCCCCC,10.98,1.86,3.52,26.3,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating,,Chloroform,,vacuum,ambipolar,-5.18,-3.94,0.13,0.1,-15.5,100-1000,0.08,0.07,47.0,100-1000,0.13,""
PBTBDF-BT,309,292,2015,10.1039/c5py00161g,Polymer Chemistry,O=C1N(C(C=C(C2=CC(CCCCCCCCCCCC)=C(C3=C(CCCCCCCCCCCC)C=CS3)S2)S4)=C4/C1=C5C6=CC(SC7=O)=C(/C7=C(C8=O)/C9C(C=CS9)N8CC(CCCCCCCCCCCC)CCCCCCCCCC)C=C6SC/5=O)CC(CCCCCCCCCC)CCCCCCCCCCCC,10.98,1.86,3.52,26.3,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating - annealing,150.0,Chloroform,,vacuum,p,-5.18,-3.94,0.34,0.3,-26.4,1000-10000,0.13,0.1,55.6,100-1000,0.34,""
PBTBDF-BT,309,293,2015,10.1039/c5py00161g,Polymer Chemistry,O=C1N(C(C=C(C2=CC(CCCCCCCCCCCC)=C(C3=C(CCCCCCCCCCCC)C=CS3)S2)S4)=C4/C1=C5C6=CC(SC7=O)=C(/C7=C(C8=O)/C9C(C=CS9)N8CC(CCCCCCCCCCCC)CCCCCCCCCC)C=C6SC/5=O)CC(CCCCCCCCCC)CCCCCCCCCCCC,10.98,1.86,3.52,26.3,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating - annealing,180.0,Chloroform,,vacuum,p,-5.18,-3.94,0.45,0.38,-21.3,1000-10000,0.22,0.18,56.9,1000-10000,0.45,""
PBIBDF-BT,308,294,2015,10.1039/c5py00161g,Polymer Chemistry,O=C1N(C2=C(/C1=C3C4=CC(SC5=O)=C(/C5=C(C6=O)/C7=C(C=CC=C7)N6CC(CCCCCCCCCCCC)CCCCCCCCCC)C=C4SC/3=O)C=CC(C8=CC(CCCCCCCCCCCC)=C(C9=C(CCCCCCCCCCCC)C=CS9)S8)=C2)CC(CCCCCCCCCC)CCCCCCCCCCCC,38.6,1.52,3.55,28.5,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating,,Chloroform,,Ambient,ambipolar,-5.55,-4.03,0.39,0.27,-15.4,1000-10000,0.28,0.2,1.63,1000-10000,0.39,""
PBIBDF-BT,308,295,2015,10.1039/c5py00161g,Polymer Chemistry,O=C1N(C2=C(/C1=C3C4=CC(SC5=O)=C(/C5=C(C6=O)/C7=C(C=CC=C7)N6CC(CCCCCCCCCCCC)CCCCCCCCCC)C=C4SC/3=O)C=CC(C8=CC(CCCCCCCCCCCC)=C(C9=C(CCCCCCCCCCCC)C=CS9)S8)=C2)CC(CCCCCCCCCC)CCCCCCCCCCCC,38.6,1.52,3.55,28.5,BG/TC,100.0,1000.0,10.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating - annealing,180.0,Chloroform,,Ambient,ambipolar,-5.55,-4.03,0.36,0.23,-23.0,1000-10000,0.6,0.37,37.8,1000-10000,0.36,""
PBIBDF-BT,309,296,2015,10.1039/c5py00161g,Polymer Chemistry,O=C1N(C(C=C(C2=CC(CCCCCCCCCCCC)=C(C3=C(CCCCCCCCCCCC)C=CS3)S2)S4)=C4/C1=C5C6=CC(SC7=O)=C(/C7=C(C8=O)/C9C(C=CS9)N8CC(CCCCCCCCCCCC)CCCCCCCCCC)C=C6SC/5=O)CC(CCCCCCCCCC)CCCCCCCCCCCC,10.98,1.86,3.52,26.3,BG/TC,100.0,800.0,8.0,Cytop-treated SiO2,340.0,10.0,Au,Si,Spin coating,,Chloroform,,Ambient,p,-5.18,-3.94,0.25,0.21,-19.5,1000-10000,0.03,0.02,76.6,100-1000,0.25,""
