Compound name,Compound id,Device id,Publish year,Doi,Journal name,Smiles,Mn(Kda),Dispersity(Đ),π-π Spacing,d(100),Device architectures,Channel length(μm),Channel width(μm),Ratio of channel length and width,Materials of dielectric layer,Thickness of dielectric layer(μm),Capacitance of unit area(nF),Materials of source and drain electrodes,Materials of gate electrodes,Fabrication method,Annealing temperature,Spin coating solvent,Spin coating speed(rpm),Test environment,Type of carriers,HOMO (eV),LUMO (eV),Max hole mobility (cm²V⁻¹s⁻¹),Mean hole mobility (cm²V⁻¹s⁻¹),Hole threshold voltage(V),Hole on and off ratio,Max electron mobility (cm²V⁻¹s⁻¹),Mean electron mobility (cm²V⁻¹s⁻¹),Electron threshold voltage(V),Electron on and off ratio,Max mobility (cm²V⁻¹s⁻¹),Comments
NBA-P2,369,403,2017,10.1021/jacs.7b07750,Journal of American Chemical Society,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc1c24)C(=O)N3CC(CCCCCCCC)CCCCCCCCCC,35.6,3.91,3.58,25.1,BG/TC,60.0,1000.0,16.7,PMMA,,,Au/Cr,Al,Spin coating - annealing,200.0,o-DCB,1000.0,Ambient,p,-5.58,-3.89,0.0843,0.05,-20.6,12600,,,,,0.0843,""
NBA-P2,369,404,2017,10.1021/jacs.7b07750,Journal of American Chemical Society,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc1c24)C(=O)N3CC(CCCCCCCC)CCCCCCCCCC,35.6,3.91,3.58,25.1,TG/BC,60.0,1000.0,16.7,PMMA,,,Au/Cr,Al,Spin coating - annealing,200.0,o-DCB,1000.0,Ambient,ambipolar,-5.58,-3.89,0.108,0.1,-42.1,63,0.393,0.34,40.2,500,0.393,""
NBA-P2,369,405,2017,10.1021/jacs.7b07750,Journal of American Chemical Society,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc1c24)C(=O)N3CC(CCCCCCCC)CCCCCCCCCC,35.6,3.91,3.58,25.1,TG/BC,60.0,1000.0,16.7,PMMA,,,Au/Cr,Al,Spin coating - annealing,200.0,o-DCB,1000.0,vacuum,ambipolar,-5.58,-3.89,0.108,0.08,-41.6,50,0.38,0.28,40.1,316,0.38,""
NBA-P3,370,406,2017,10.1021/jacs.7b07750,Journal of American Chemical Society,CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc1c24)C(=O)N3CC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC,40.1,3.47,3.62,30.9,TG/BC,60.0,1000.0,16.7,PMMA,,,Au/Cr,Al,Spin coating - annealing,200.0,o-DCB,1000.0,Ambient,n,-5.63,-3.94,0.0256,0.021,-43.6,32,0.107,0.09,44.2,500,0.107,""
NBA-P3,370,407,2017,10.1021/jacs.7b07750,Journal of American Chemical Society,CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc1c24)C(=O)N3CC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC,40.1,3.47,3.62,30.9,TG/BC,60.0,1000.0,16.7,PMMA,,,Au/Cr,Al,Spin coating - annealing,200.0,o-DCB,1000.0,vacuum,n,-5.63,-3.94,0.0266,0.022,-42.0,40,0.107,0.08,39.5,500,0.107,""
NBA-P4,371,408,2017,10.1021/jacs.7b07750,Journal of American Chemical Society,CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(/C=C/c6cccs6)s5)cc1c24)C(=O)N3CC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC,148.5,3.32,3.51,32.0,TG/BC,60.0,1000.0,16.7,PMMA,,,Au/Cr,Al,Spin coating - annealing,200.0,o-DCB,1000.0,Ambient,p,-5.53,-3.89,0.172,0.13,-40.0,79,0.0426,0.031,41.7,79,0.172,""
NBA-P4,371,409,2017,10.1021/jacs.7b07750,Journal of American Chemical Society,CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(/C=C/c6cccs6)s5)cc1c24)C(=O)N3CC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC,148.5,3.32,3.51,32.0,TG/BC,60.0,1000.0,16.7,PMMA,,,Au/Cr,Al,Spin coating - annealing,200.0,o-DCB,1000.0,vacuum,p,-5.53,-3.89,0.318,0.15,-37.0,126,0.0563,0.03,46.1,16,0.318,""
PDTzTI,372,410,2018,10.1002/adma.201705745,Advanced Materials,CCCCCCCCC(CCCCCC)Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c5ccsc5c4s3)nc2c1=O,7.0,1.1,3.35,,TG/BC,,,50.0,Cytop,,4.4,Au/Cr,Al,Spin coating,,CTL-809M : CT-SOLV180 = 2:1,,Nitrogen,n,-5.78,-3.77,,,,,0.16,0.1,48.0,1000000-10000000,0.16,"channel width (W) normalized total resistance"
PDTzTI,372,411,2018,10.1002/adma.201705745,Advanced Materials,CCCCCCCCC(CCCCCC)Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c5ccsc5c4s3)nc2c1=O,7.0,1.1,3.35,,TG/BC,,,50.0,Cytop,,4.4,Au/Cr,Al,Spin coating - annealing,150.0,CTL-809M : CT-SOLV180 = 2:1,,Nitrogen,n,-5.78,-3.77,,,,,0.79,0.62,42.0,10000000-100000000,0.79,"channel width (W) normalized total resistance"
PDTzTI,372,412,2018,10.1002/adma.201705745,Advanced Materials,CCCCCCCCC(CCCCCC)Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c5ccsc5c4s3)nc2c1=O,7.0,1.1,3.35,,TG/BC,,,50.0,Cytop,,4.4,Au/Cr,Al,Spin coating - annealing,250.0,CTL-809M : CT-SOLV180 = 2:1,,Nitrogen,n,-5.78,-3.77,,,,,0.5,0.37,44.0,1000000-10000000,0.5,"channel width (W) normalized total resistance"
PDTzTI,372,413,2018,10.1002/adma.201705745,Advanced Materials,CCCCCCCCC(CCCCCC)Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c5ccsc5c4s3)nc2c1=O,7.0,1.1,3.35,,TG/BC,,,50.0,Cytop,,4.4,Au/Cr,Al,Spin coating - annealing,300.0,CTL-809M : CT-SOLV180 = 2:1,,Nitrogen,n,-5.78,-3.77,,,,,0.33,0.3,47.0,1000000-10000000,0.33,"channel width (W) normalized total resistance"
PTTID-T,201,414,2018,10.1039/C8TC02705F,Journal of Material Chemical C,CCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3c2sc2cc(-c4cccs4)sc32)c2sc3ccsc3c21,54.3,1.85,3.6,26.4,BG/TC,100.0,1000.0,10.0,ODTS-modified SiO?,300.0,10.8,Au,n+-Si,Spin coating - annealing,150.0,Chloroform,2000.0,Vacuum,p,-5.44,-3.74,0.54,0.5,2.6,770000,,,,,0.54,""
PTTID-BT,202,415,2018,10.1039/C8TC02705F,Journal of Material Chemical C,CCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3c2sc2cc(-c4ccc(-c5cccs5)s4)sc32)c2sc3ccsc3c21,52.9,1.54,3.5,27.8,BG/TC,100.0,1000.0,10.0,ODTS-modified SiO?,300.0,10.8,Au,n+-Si,Spin coating - annealing,200.0,Chloroform,2000.0,Vacuum,ambipolar,-5.43,-3.74,0.027,0.025,17.9,220,0.055,0.037,97.8,170,0.055,""
PTTID-TT,203,416,2018,10.1039/C8TC02705F,Journal of Material Chemical C,CCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3c2sc2cc(-c4cc5sccc5s4)sc32)c2sc3ccsc3c21,30.8,1.34,3.5,30.2,BG/TC,100.0,1000.0,10.0,ODTS-modified SiO?,300.0,10.8,Au,n+-Si,Spin coating - annealing,200.0,Chloroform,2000.0,Vacuum,p,-5.45,-3.77,0.066,0.06,4.6,770000,,,,,0.066,""
PTTID-TVT,204,417,2018,10.1039/C8TC02705F,Journal of Material Chemical C,CCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3c2sc2cc(-c4ccc(/C=C/c5cccs5)s4)sc32)c2sc3ccsc3c21,36.6,1.41,3.5,27.6,BG/TC,100.0,1000.0,10.0,ODTS-modified SiO?,300.0,10.8,Au,n+-Si,Spin coating - annealing,200.0,Chloroform,2000.0,Vacuum,p,-5.47,-3.51,0.044,0.042,12.9,1900,,,,,0.044,""
PTTID-SVS,205,418,2018,10.1039/C8TC02705F,Journal of Material Chemical C,CCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3c2sc2cc(-c4ccc(/C=C/c5ccc[se]5)[se]4)sc32)c2sc3ccsc3c21,26.9,1.39,3.5,27.1,BG/TC,100.0,1000.0,10.0,ODTS-modified SiO?,300.0,10.8,Au,n+-Si,Spin coating - annealing,200.0,Chloroform,2000.0,Vacuum,p,-5.48,-3.72,0.046,0.043,20.9,680,,,,,0.046,""
PTTID-T,201,419,2018,10.1039/C8TC02705F,Journal of Material Chemical C,CCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3c2sc2cc(-c4cccs4)sc32)c2sc3ccsc3c21,54.3,1.85,3.6,30.3,BG/TC,100.0,1000.0,10.0,ODTS-modified SiO?,300.0,10.8,Au,n+-Si,Spin coating,,Chloroform,2000.0,Vacuum,p,-5.44,-3.74,0.19,0.16,2.5,55000,,,,,0.19,""
PTTID-BT,202,420,2018,10.1039/C8TC02705F,Journal of Material Chemical C,CCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3c2sc2cc(-c4ccc(-c5cccs5)s4)sc32)c2sc3ccsc3c21,52.9,1.54,3.6,29.7,BG/TC,100.0,1000.0,10.0,ODTS-modified SiO?,300.0,10.8,Au,n+-Si,Spin coating,,Chloroform,2000.0,Vacuum,ambipolar,-5.43,-3.74,0.01,0.0081,1.3,960,0.019,0.017,85.7,1900,0.019,""
PTTID-TT,203,421,2018,10.1039/C8TC02705F,Journal of Material Chemical C,CCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3c2sc2cc(-c4cc5sccc5s4)sc32)c2sc3ccsc3c21,30.8,1.34,3.6,32.2,BG/TC,100.0,1000.0,10.0,ODTS-modified SiO?,300.0,10.8,Au,n+-Si,Spin coating,,Chloroform,2000.0,Vacuum,p,-5.45,-3.77,0.004,0.0034,34.4,55000,,,,,0.004,""
PTTID-TVT,204,422,2018,10.1039/C8TC02705F,Journal of Material Chemical C,CCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3c2sc2cc(-c4ccc(/C=C/c5cccs5)s4)sc32)c2sc3ccsc3c21,36.6,1.41,3.5,29.9,BG/TC,100.0,1000.0,10.0,ODTS-modified SiO?,300.0,10.8,Au,n+-Si,Spin coating,,Chloroform,2000.0,Vacuum,p,-5.47,-3.51,0.016,0.015,3.9,10000,,,,,0.016,""
PTTID-SVS,205,423,2018,10.1039/C8TC02705F,Journal of Material Chemical C,CCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3c2sc2cc(-c4ccc(/C=C/c5ccc[se]5)[se]4)sc32)c2sc3ccsc3c21,26.9,1.39,3.6,32.9,BG/TC,100.0,1000.0,10.0,ODTS-modified SiO?,300.0,10.8,Au,n+-Si,Spin coating,,Chloroform,2000.0,Vacuum,p,-5.48,-3.72,0.014,0.013,8.2,920,,,,,0.014,""
PDIID-T,206,424,2016,10.1021/acs.macromol.6b00006,Macromolecules,CCCCCCCCCCCCN1C(=O)/C(=C2/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c3ccccc32)c2ccc3c4c(ccc3c21)/C(=C1\C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c2cc(-c3cccs3)ccc21)C(=O)N4CCCCCCCCCCCC,52.4,1.63,,,TG/BC,80.0,5600.0,70.0,PMMA,550.0,5.5,Au,Au,Spin coating - annealing,200.0,o-DCB,,Ambient,ambipolar,-5.16,-3.66,0.0011,0.00094,-11.0,<10,0.0062,0.0037,11.0,10-100,0.0037,""
PDIID-TT,207,425,2016,10.1021/acs.macromol.6b00006,Macromolecules,CCCCCCCCCCCCN1C(=O)/C(=C2/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c3ccccc32)c2ccc3c4c(ccc3c21)/C(=C1\C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c2cc(-c3ccc(-c5cccs5)s3)ccc21)C(=O)N4CCCCCCCCCCCC,82.1,2.07,3.6,24.52,BG/TC,100.0,3000.0,30.0,ODMS-modified SiO?,300.0,10.0,Au,n+-Si,Spin coating,,o-DCB,,Ambient,p,-5.16,-3.58,0.56,0.48,6.0,~1000,0.015,0.013,63.5,1000-10000,0.56,""
PDIID-TT,207,426,2016,10.1021/acs.macromol.6b00006,Macromolecules,CCCCCCCCCCCCN1C(=O)/C(=C2/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c3ccccc32)c2ccc3c4c(ccc3c21)/C(=C1\C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c2cc(-c3ccc(-c5cccs5)s3)ccc21)C(=O)N4CCCCCCCCCCCC,82.1,2.07,3.6,24.52,BG/TC,100.0,3000.0,30.0,ODMS-modified SiO?,300.0,10.0,Au,n+-Si,Spin coating - annealing,200.0,o-DCB,,Ambient,p,-5.16,-3.58,1.55,1.29,5.0,1000-10000,0.021,0.018,43.0,100-1000,1.55,""
PDIID-TT,207,427,2016,10.1021/acs.macromol.6b00006,Macromolecules,CCCCCCCCCCCCN1C(=O)/C(=C2/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c3ccccc32)c2ccc3c4c(ccc3c21)/C(=C1\C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c2cc(-c3ccc(-c5cccs5)s3)ccc21)C(=O)N4CCCCCCCCCCCC,82.1,2.07,3.6,24.52,TG/BC,80.0,5600.0,70.0,PMMA,550.0,5.5,Au,Au,Spin coating - annealing,200.0,o-DCB,,Ambient,ambipolar,-5.16,-3.58,0.41,0.34,-16.5,~100,0.18,0.14,45.5,~100,0.41,""
PDIID-TVT1,208,428,2016,10.1021/acs.macromol.6b00006,Macromolecules,CCCCCCCCCCCCN1C(=O)/C(=C2/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c3ccccc32)c2ccc3c4c(ccc3c21)/C(=C1\C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c2cc(-c3ccc(/C=C/c5cccs5)s3)ccc21)C(=O)N4CCCCCCCCCCCC,46.2,5.31,3.73,23.67,BG/TC,100.0,3000.0,30.0,ODMS-modified SiO?,300.0,10.0,Au,n+-Si,Spin coating,,o-DCB,,Ambient,p,-5.24,-3.58,0.67,0.49,-6.5,1000-10000,0.00097,0.00085,50.0,1000-10000,0.67,""
PDIID-TVT1,208,429,2016,10.1021/acs.macromol.6b00006,Macromolecules,CCCCCCCCCCCCN1C(=O)/C(=C2/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c3ccccc32)c2ccc3c4c(ccc3c21)/C(=C1\C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c2cc(-c3ccc(/C=C/c5cccs5)s3)ccc21)C(=O)N4CCCCCCCCCCCC,46.2,5.31,3.73,23.67,BG/TC,100.0,3000.0,30.0,ODMS-modified SiO?,300.0,10.0,Au,n+-Si,Spin coating - annealing,200.0,o-DCB,,Ambient,p,-5.24,-3.58,1.79,1.47,3.0,10000-100000,0.087,0.058,46.0,1000-10000,1.79,""
PDIID-TVT1,208,430,2016,10.1021/acs.macromol.6b00006,Macromolecules,CCCCCCCCCCCCN1C(=O)/C(=C2/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c3ccccc32)c2ccc3c4c(ccc3c21)/C(=C1\C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)c2cc(-c3ccc(/C=C/c5cccs5)s3)ccc21)C(=O)N4CCCCCCCCCCCC,46.2,5.31,3.73,23.67,TG/BC,80.0,5600.0,70.0,PMMA,550.0,5.5,Au,Au,Spin coating - annealing,200.0,o-DCB,,Ambient,ambipolar,-5.24,-3.58,0.45,0.36,-14.5,10-100,0.16,0.11,42.0,10-100,0.45,""
PDIID-TVT2,209,431,2016,10.1021/acs.macromol.6b00006,Macromolecules,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CCCCCCCCCCCC)c3c2ccc2c4c(ccc32)/C(=C2\C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c5ccc(/C=C/c6cccs6)s5)ccc32)C(=O)N4CCCCCCCCCCCC)c2ccccc21,35.5,7.18,3.83,23.05,BG/TC,100.0,3000.0,30.0,ODMS-modified SiO?,300.0,10.0,Au,n+-Si,Spin coating,,o-DCB,,Ambient,p,-5.38,-3.71,0.2,0.15,-6.5,100000-1000000,0.0017,0.0016,28.0,1000-10000,0.2,""
PDIID-TVT2,209,432,2016,10.1021/acs.macromol.6b00006,Macromolecules,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CCCCCCCCCCCC)c3c2ccc2c4c(ccc32)/C(=C2\C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c5ccc(/C=C/c6cccs6)s5)ccc32)C(=O)N4CCCCCCCCCCCC)c2ccccc21,35.5,7.18,3.83,23.05,BG/TC,100.0,3000.0,30.0,ODMS-modified SiO?,300.0,10.0,Au,n+-Si,Spin coating - annealing,200.0,o-DCB,,Ambient,p,-5.38,-3.71,0.75,0.62,-1.5,10000-100000,0.018,0.017,24.5,1000-10000,0.75,""
PDIID-TVT2,209,433,2016,10.1021/acs.macromol.6b00006,Macromolecules,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CCCCCCCCCCCC)c3c2ccc2c4c(ccc32)/C(=C2\C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c5ccc(/C=C/c6cccs6)s5)ccc32)C(=O)N4CCCCCCCCCCCC)c2ccccc21,35.5,7.18,3.83,23.05,TG/BC,80.0,5600.0,70.0,PMMA,550.0,5.5,Au,Au,Spin coating - annealing,290.0,o-DCB,,Ambient,ambipolar,-5.38,-3.71,0.32,0.27,-35.0,~100,0.071,0.051,40.0,~1000,0.32,""
FVTI-BT,210,434,2018,10.1021/acs.macromol.8b01297,Macromolecules,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C\c2cc(F)c(/C=C/c3sc(/C=C4\C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c5cc(-c6ccc(-c7cccs7)s6)ccc54)cc3F)s2)c2ccccc21,52.0,1.85,3.52,19.7,BG/TC,50.0,1400.0,28.0,OTS-modified SiO2,300.0,10.0,Au,n+-Si,Spin coating - annealing,120.0,o-DCB,2500.0,Ambient,p,-5.25,-3.36,0.33,0.24,9.4,10000-1000000  ,,,,,0.33,""
FVTI-BTF,211,435,2018,10.1021/acs.macromol.8b01297,Macromolecules,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C\c2cc(F)c(/C=C/c3sc(/C=C4\C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c5cc(-c6cc(F)c(-c7sccc7F)s6)ccc54)cc3F)s2)c2ccccc21,28.2,1.5,3.51,19.9,BG/TC,50.0,1400.0,28.0,OTS-modified SiO2,300.0,10.0,Au,n+-Si,Spin coating - annealing,120.0,o-DCB,2500.0,Ambient,p,-5.35,-3.39,0.39,0.26,-1.6,100000-10000000  ,,,,,0.39,""
FVTI-TVT,212,436,2018,10.1021/acs.macromol.8b01297,Macromolecules,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C\c2cc(F)c(/C=C/c3sc(/C=C4\C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c5cc(-c6ccc(/C=C/c7cccs7)s6)ccc54)cc3F)s2)c2ccccc21,47.5,2.81,3.5,24.8,BG/TC,50.0,1400.0,28.0,OTS-modified SiO2,300.0,10.0,Au,n+-Si,Spin coating - annealing,120.0,o-DCB,2500.0,Ambient,p,-5.2,-3.36,0.3,0.21,8.2,10000-1000000  ,,,,,0.3,""
FVTI-TVTF,213,437,2018,10.1021/acs.macromol.8b01297,Macromolecules,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C\c2cc(F)c(/C=C/c3sc(/C=C4\C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c5cc(-c6cc(F)c(/C=C/c7sccc7F)s6)ccc54)cc3F)s2)c2ccccc21,33.5,1.49,3.55,24.8,BG/TC,50.0,1400.0,28.0,OTS-modified SiO2,300.0,10.0,Au,n+-Si,Spin coating - annealing,120.0,o-DCB,2500.0,Ambient,p,-5.27,-3.43,0.48,0.31,6.9,10000-1000000  ,,,,,0.48,""
FVTAI-TVT,214,438,2018,10.1021/acs.macromol.8b01297,Macromolecules,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C\c2cc(F)c(/C=C/c3sc(/C=C4\C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c5nc(-c6ccc(/C=C/c7cccs7)s6)ccc54)cc3F)s2)c2cccnc21,36.6,1.63,3.5,19.1,BG/TC,50.0,1400.0,28.0,OTS-modified SiO2,300.0,10.0,Au,n+-Si,Spin coating - annealing,160.0,o-DCB,2500.0,Ambient,p,-5.82,-3.89,0.47,0.37,6.3,100000-100000000  ,,,,,0.47,""
FVTAI-TVTF,215,439,2018,10.1021/acs.macromol.8b01297,Macromolecules,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C\c2cc(F)c(/C=C/c3sc(/C=C4\C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c5nc(-c6cc(F)c(/C=C/c7sccc7F)s6)ccc54)cc3F)s2)c2cccnc21,22.9,1.69,3.5,19.1,BG/TC,50.0,1400.0,28.0,OTS-modified SiO2,300.0,10.0,Au,n+-Si,Spin coating - annealing,240.0,o-DCB,2500.0,Ambient,p,-5.99,-3.93,0.31,0.19,4.9,10000-10000000  ,,,,,0.31,""
VDTOI-TVT,216,440,2016,10.1039/C5PY01500F,Polymer Chemistry,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C\c2ccc(/C=C/c3ccc(/C=C4\C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c5cc(-c6ccc(/C=C/c7cccs7)s6)ccc54)s3)s2)c2ccccc21,36.8,1.82,,,BG/BC,10.0,1400.0,140.0,PTS-modified SiO2,300.0,10.0,Au,n+-Si,Spin coating,,o-DCB,2000.0,Ambient,p,-5.41,-3.34,0.11,0.08,10.51,"1,000,000-10,000,000",,,,,0.11,""
VDTOI-SVS,217,441,2016,10.1039/C5PY01500F,Polymer Chemistry,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C\c2ccc(/C=C/c3ccc(/C=C4\C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c5cc(-c6ccc(/C=C/c7ccc[se]7)[se]6)ccc54)s3)s2)c2ccccc21,24.6,1.9,,,BG/BC,10.0,1400.0,140.0,PTS-modified SiO2,300.0,10.0,Au,n+-Si,Spin coating - annealing,300.0,o-DCB,2000.0,Ambient,p,-5.4,-3.62,0.35,0.21,8.55,"1,000,000-10,000,000",,,,,0.35,""
VDTOI-TVT,216,442,2016,10.1039/C5PY01500F,Polymer Chemistry,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C\c2ccc(/C=C/c3ccc(/C=C4\C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c5cc(-c6ccc(/C=C/c7cccs7)s6)ccc54)s3)s2)c2ccccc21,36.8,1.82,3.71,21.5,BG/BC,10.0,1400.0,140.0,PTS-modified SiO2,300.0,10.0,Au,n+-Si,Spin coating,,o-DCB,2000.0,Ambient,p,-5.41,-3.34,0.015,0.01,2.1,"1,000,000-10,000,000",,,,,0.015,""
VDTOI-SVS,217,443,2016,10.1039/C5PY01500F,Polymer Chemistry,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C\c2ccc(/C=C/c3ccc(/C=C4\C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c5cc(-c6ccc(/C=C/c7ccc[se]7)[se]6)ccc54)s3)s2)c2ccccc21,24.6,1.9,,,BG/BC,10.0,1400.0,140.0,PTS-modified SiO2,300.0,10.0,Au,n+-Si,Spin coating - annealing,300.0,o-DCB,2000.0,Ambient,p,-5.4,-3.62,0.037,0.021,1.2,"1,000,000-10,000,000",,,,,0.037,""
HBI-P1,218,444,2015,10.1039/C5TC00447K,Journal of Material Chemical C,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=N\N=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc(-c5cccs5)s4)ccc32)c2ccccc21,40.0,2.23,3.75,19.4,BG/BC,30.0,1000.0,33.3,DDTS-modified SiO2,300.0,11.6,Au,n++-Si,Spin coating - annealing,100.0,Chloroform,3000.0,Nitrogen,ambipolar,-5.6,-4.0,0.056,0.041,-49.3,,0.0086,0.0063,51.3,,0.056,""
HBI-P1,219,445,2015,10.1039/C5TC00447K,Journal of Material Chemical C,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=N\N=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc(-c5cccs5)s4)ccc32)c2ccccc21,40.0,2.23,3.75,19.4,BG/BC,30.0,1000.0,33.3,DDTS-modified SiO3,300.0,11.6,Au,n++-Si,Spin coating - annealing,100.0,Chloroform,3000.0,Nitrogen,ambipolar,-5.6,-4.0,0.068,0.058,-23.8,,0.016,0.011,55.2,,0.068,""
